"","Dia","Mes","Anio","pred"
"405","15","5","13",1160.5706139379
"406","16","5","13",1172.13763129883
"407","17","5","13",1221.85605407515
"408","18","5","13",304.044919891967
"409","20","5","13",812.150900020177
"410","21","5","13",1010.90869077262
"411","22","5","13",1154.66253290982
"412","23","5","13",1240.42235148088
"413","24","5","13",1206.36640518434
"414","25","5","13",376.261904826365
"415","27","5","13",982.571228503596
"416","28","5","13",1267.1171334324
"417","29","5","13",1533.19949827772
"418","30","5","13",1717.5576310872
"419","31","5","13",1478.77638830525
"420","01","6","13",93.3810820661591
"421","04","6","13",917.721908151318
"422","05","6","13",1064.49605647923
"423","06","6","13",1144.84001973045
"424","07","6","13",1203.88939488619
"425","08","6","13",323.07206375466
"426","11","6","13",1028.79970108567
"427","12","6","13",1156.19721919127
"428","13","6","13",1221.43946790322
"429","14","6","13",1258.90837289163
"430","15","6","13",328.283898181007
"431","17","6","13",804.096705771609
"432","18","6","13",991.032642141019
"433","19","6","13",1148.37194497542
"434","20","6","13",1188.58529442016
"435","21","6","13",1223.9981369527
"436","22","6","13",322.375817152922
"437","24","6","13",788.6070568808
"438","25","6","13",1063.24962707542
"439","26","6","13",1214.89750130728
"440","27","6","13",1359.00562290358
"441","28","6","13",1480.20657961249
"442","29","6","13",700.91278252082
"443","02","7","13",789.035495051845
"444","03","7","13",1012.81187123885
"445","04","7","13",1106.44119834676
"446","05","7","13",1149.24130707038
"447","06","7","13",285.85863028658
"448","08","7","13",822.344681799166
"449","09","7","13",1005.11336717242
"450","10","7","13",1217.59781189141
"451","11","7","13",1217.51899128111
"452","12","7","13",1240.94246978242
"453","13","7","13",362.458078459355
"454","15","7","13",827.556516225514
"455","16","7","13",1000.14396410401
"456","17","7","13",1153.83642648462
"457","18","7","13",1179.75193233646
"458","19","7","13",1233.11719556656
"459","22","7","13",821.648435197429
"460","23","7","13",1068.42868428607
"461","24","7","13",1138.34677759381
"462","25","7","13",1251.96891727086
"463","26","7","13",1299.64275189843
"464","27","7","13",500.024233459714
"465","29","7","13",1200.18540056533
"466","30","7","13",1545.56396389239
"467","31","7","13",1410.75676071473
"468","01","8","13",981.434609127858
"469","02","8","13",1014.47145584914
"470","03","8","13",192.871670099165
"471","05","8","13",743.828473384053
"472","06","8","13",985.192867152839
"473","08","8","13",1211.12559081636
"474","09","8","13",1230.54932796972
"475","10","8","13",397.657610751724
"476","12","8","13",835.529636096092
"477","13","8","13",1061.79231532561
"478","14","8","13",1203.23525991832
"479","15","8","13",1216.33742524271
"480","16","8","13",1225.57992490131
"481","17","8","13",333.896225344935
"482","20","8","13",1028.93814184255
"483","21","8","13",1168.32502397939
"484","22","8","13",1210.42934421462
"485","23","8","13",1293.86464508336
"486","24","8","13",318.406576454126
"487","26","8","13",894.2299182121
"488","27","8","13",1199.35847032597
"489","28","8","13",1424.53346663918
"490","29","8","13",1588.96630958252
"491","30","8","13",1770.99992468968
"492","31","8","13",590.816559575041
"493","02","9","13",594.980855340498
"494","03","9","13",878.12814014311
"495","04","9","13",1073.40698915298
"496","05","9","13",1118.53161557893
"497","06","9","13",1196.55106112782
"498","07","9","13",314.198313950869
"499","09","9","13",811.058727461073
"500","10","9","13",1082.91408079567
"501","11","9","13",1184.48478208734
"502","12","9","13",1210.23277829097
"503","13","9","13",1273.1505093006
"504","14","9","13",369.217291956314
"505","16","9","13",806.089324392665
"506","17","9","13",1019.15269538888
"507","18","9","13",1146.71772314268
"508","19","9","13",1202.40750407511
"509","20","9","13",1240.29633581754
"510","21","9","13",334.307056017387
"511","23","9","13",874.374044574721
"512","24","9","13",1003.66304649807
"513","25","9","13",1218.93470807708
"514","26","9","13",1268.93306040698
"515","27","9","13",1410.71666430096
"516","28","9","13",590.515498677174
"517","30","9","13",1351.50932418104
"518","01","10","13",789.044095537893
"519","02","10","13",926.054981863467
"520","03","10","13",1048.18183614851
"521","04","10","13",1139.48664555409
"522","05","10","13",240.884631945021
"523","07","10","13",794.805337805332
"524","08","10","13",1018.73507722639
"525","09","10","13",1142.13285398404
"526","10","10","13",1252.96777680106
"527","11","10","13",1250.56443848844
"528","12","10","13",332.58579465706
"529","15","10","13",1023.94691165274
"530","16","10","13",1137.16345091564
"531","17","10","13",1189.20639139428
"532","18","10","13",1212.79737954379
"533","19","10","13",324.760520441203
"534","21","10","13",814.91407987185
"535","22","10","13",1018.03883062466
"536","23","10","13",1205.44817109769
"537","24","10","13",1173.71674250347
"538","25","10","13",1285.01436447819
"539","26","10","13",391.286076773068
"540","28","10","13",1071.12252253164
"541","29","10","13",1396.57579599255
"542","30","10","13",1682.58345070401
"543","31","10","13",1446.12672562438
"544","01","11","13",1031.85039201935
"545","02","11","13",123.48511640794
"546","05","11","13",957.589204495441
"547","06","11","13",1139.58268964862
"548","07","11","13",1200.95658250668
"549","08","11","13",1261.54137370785
"550","09","11","13",339.562988528515
"551","12","11","13",1049.29036720748
"552","13","11","13",1216.1821378214
"553","14","11","13",1255.97556051213
"554","15","11","13",1266.7532081342
"555","16","11","13",334.593585460108
"556","18","11","13",824.75488154162
"557","19","11","13",1041.46509299162
