"","Dia","Mes","Anio","pred"
"930",18,7,14,1187.50951926737
"931",19,7,14,299.472660164783
"932",20,7,14,0
"933",21,7,14,789.626219595429
"934",22,7,14,992.750970348235
"935",23,7,14,1180.16031082127
"936",24,7,14,1148.42888222705
"937",25,7,14,1259.72650420177
"938",26,7,14,365.998216496647
"939",27,7,14,0
"940",28,7,14,1045.83466225522
"941",29,7,14,1371.28793571613
"942",30,7,14,1657.29559042759
"943",31,7,14,1420.83886534796
"944",1,8,14,989.192196058768
"945",2,8,14,80.8269204473583
"946",3,8,14,0
"947",4,8,14,708.785951591338
"948",5,8,14,914.93100853486
"949",6,8,14,1096.92449368804
"950",7,8,14,0
